RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METH,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAY,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8-1,Q8-2,Q8-3,Q8-4,Q8-5,Q8-6,Q9Boarding,Q9AirTrain,Q9Rental,Q9Food,Q9Restroom,Q9All,Q9-1,Q9-2,Q9-3,Q10Safe,Q10-1,Q10-2,Q10-3,Q11TSAPRE,Q12PRECHECKRATE,Q12-1,Q12-2,Q12-3,Q13COUNTY,Q13GETRATE,Q14FIND ,Q14PASSTHRU,Q15PROBLEM,Q15A,Q15-1,Q15-2,Q15-3,NETPRO  ,Q17LIVE,Q18CITY,Q18COUNTY,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19Clear,Q20Age,Q21Gender,Q22Income,Q23FLY,Q24SJC,Q24OAK,LANG,WEIGHT
1842,1680,552,21,2,102,G,3,3,1,2,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.583333333,0.760416667,255,2,,,2,,,,1,1,1,1,2,1,1,6,6,3,4,4,4,4,4,4,4,6,6,6,6,4,0,,,,,,4,6,6,6,4,3,0,,,3,4,,,0,,,,,18,5,4,3,2,,,,,5,3,,,,,CYPRUS,15,2,6,2,0,0,2,2,1,0.670484223
1844,1681,552,21,2,102,G,3,3,1,2,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.541666667,0.760416667,315,2,3,,9,,,,1,2,2,2,1,2,1,6,3,4,4,4,5,6,6,2,4,6,4,6,2,4,0,,,,,,5,4,3,6,4,4,0,,,4,0,,,1,2,14,,,5,4,4,3,2,,,,,7,3,ISTANBUL,,,,TURKEY,15,2,4,1,2,1,2,2,1,0.670484223
1840,1678,552,21,2,102,G,3,3,1,1,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.645833333,0.760416667,165,5,,,7,,,,3,3,3,1,1,2,3,3,6,4,4,6,4,3,3,5,6,6,6,6,6,4,0,,,,,,4,6,6,6,2,3,0,,,4,0,,,1,3,0,,,0,4,5,3,2,,,,,7,3,IZMIR,,,,TURKEY,15,1,5,1,5,2,2,2,1,0.670484223
1837,1676,552,21,2,102,G,3,3,1,1,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.604166667,0.760416667,225,3,,,5,,,,1,1,1,1,2,1,0,0,4,4,4,5,4,0,0,5,0,0,0,0,0,4,0,,,,,,5,0,0,3,4,4,0,,,4,0,,,0,,,,,0,0,0,0,0,,,,,8,3,SKOPJE,,,,MACEDONIA,15,2,2,2,3,3,2,1,1,0.670484223
1833,1674,552,21,2,102,G,3,3,1,2,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.638888889,0.760416667,175,4,,,2,,,,1,2,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,5,6,6,4,5,5,1,,,3,1,,,0,,,,,0,3,3,3,1,I FLEW WITH TK A NUMBER OF TIMES AND NEVER ENCOUNTERED PROBLEMS. ODA I WAS TOLD HAT I COULDN'T USE A BACKPACK AS MY HANDBAG REPACKING,31,,,8,3,REUTLINGEN,,,,GERMANY,15,2,2,2,2,2,2,2,1,0.670484223
3010,2216,613,23,4,58,D,3,2,1,2,AMERICAN,MIAMI,556,8,37,2,4,0.833333333,0.894444444,88,1,,,5,,,,2,0,1,2,1,2,1,3,4,3,3,3,3,6,3,6,6,6,6,6,6,4,0,,,,,,5,6,6,4,0,4,0,,,5,0,,,0,,,,,5,4,5,3,2,,,,,8,3,MIAMI,MIAMI-DADE COUNTY,FL,33146,US,12,1,4,2,4,3,2,2,1,1.061139364
1838,1677,552,21,2,102,G,3,3,1,2,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.625,0.760416667,195,1,,,6,,,,1,2,1,1,1,2,1,4,3,3,2,3,4,4,4,5,6,6,6,6,6,4,0,,,,,,5,6,6,5,3,4,0,,,5,0,,,0,,,,,5,5,4,4,2,,,,,8,3,ISTANBUL,,,,TURKEY,15,2,3,1,2,2,2,2,1,0.670484223
1845,1682,552,21,2,102,G,3,3,1,2,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.666666667,0.760416667,135,2,,,3,,,,2,2,2,1,1,0,1,3,6,6,4,4,4,6,6,4,6,6,6,6,6,4,0,,,,,,4,6,6,6,3,3,0,,,4,0,,,4,,,,,11,6,4,6,2,,,,,8,3,VANCOUVER,CLARK COUNTY,WA,98661,US,10,2,6,1,2,2,2,2,1,0.670484223
2097,1705,557,21,2,98,G,3,3,1,2,UNITED INTL,MEXICO CITY,412,31,36,4,4,0.864583333,0.965277778,145,1,,,2,,,,2,1,2,1,4,1,4,4,3,3,4,4,4,6,6,4,4,4,6,3,6,4,0,,,,,,4,6,6,4,4,4,0,,,4,4,,,1,5,21,10,,2,3,5,5,2,,,,,9,1,DISCOVERY BAY,CONTRA COSTA COUNTY,CA,94505,US,2,2,6,2,4,2,1,1,1,1.486924802
1846,1683,552,21,2,102,G,3,3,1,2,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.659722222,0.760416667,145,1,,,7,,,,2,2,2,2,2,2,1,3,4,3,4,3,4,3,0,2,3,2,2,2,2,4,0,,,,,,5,5,5,5,4,5,0,,,4,0,,,0,,,,,25,4,5,5,2,,,,,9,0,,,,,,99,2,4,0,2,2,2,2,1,0.670484223
1831,1673,552,21,2,102,G,3,3,1,2,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.5625,0.760416667,285,1,,,6,,,,1,1,2,1,2,1,2,5,5,5,5,5,4,6,6,4,6,6,6,6,6,5,0,,,,,,5,6,6,6,4,5,0,,,4,12,,,2,,,,,5,5,5,5,2,,,,,9,3,SAFIA,,,,BULGARIA,15,2,3,1,0,2,0,1,1,0.670484223
1848,1684,552,21,2,102,G,3,3,1,1,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.666666667,0.760416667,135,2,,,7,,,,1,1,1,1,1,1,4,4,4,4,4,3,3,3,3,4,4,4,6,6,6,4,102,,,,,,4,4,4,4,4,4,0,,,3,23,,,3,,,,,5,4,4,5,2,,,,,9,3,,,,,TURKEY,15,2,6,1,1,2,2,2,1,0.670484223
1841,1679,552,21,2,102,G,3,3,1,2,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.552083333,0.760416667,300,13,,,2,,,,1,1,1,1,4,1,2,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,203,202,,,,,5,5,5,5,4,5,0,,,5,0,,,2,,,,,1,5,5,2,2,,,,,9,2,EUREKA,HUMBOLDT COUNTY,CA,95501,US,10,2,5,2,2,3,2,2,1,0.670484223
1835,1675,552,21,2,102,G,3,3,1,1,TURKISH AIRLINES,ISTANBUL,80,29,27,7,4,0.541666667,0.760416667,315,3,,,2,,,,1,2,2,1,1,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,,,,,,5,5,5,5,5,5,0,,,5,3,,,3,,,,,5,0,4,5,2,,,,,10,2,WEST SACRAMENTO,YOLO COUNTY,CA,95691,US,10,2,3,1,1,3,2,2,1,0.670484223
